PatchID,year,FireYear,ConProb,timeSinceFire,deltaConProb,preFireConProb,postFireConProb,ARI,RRI,RRI_yr20,SAPYr1_3,plantedYr0_6,PPT_Yr0_3_mean,CWDhist,PPThist,PPThistSD,T_meanHist,T_meanSD,SolarLoad,aspect,eastness,northness,slope,elevation,burnSev,wilderness,SeedAvail,PostFirePPT,SeedAvail2,PostFirePPT2,planted
1689284518,1990,1987,51.26411864045379,3,47.18485162784527,81.71516319373985,34.530311565894586,16.7338070745592,0.40352125125588073,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1991,1987,87.21971189820921,4,47.18485162784527,81.71516319373985,34.530311565894586,52.68940033231463,1.141447783417949,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1992,1987,59.588377989731825,5,47.18485162784527,81.71516319373985,34.530311565894586,25.05806642383724,0.5181307018186193,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1993,1987,72.50618041645397,6,47.18485162784527,81.71516319373985,34.530311565894586,37.97586885055939,0.8190398039773361,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1994,1987,67.8540556523707,7,47.18485162784527,81.71516319373985,34.530311565894586,33.32374408647612,0.7032222237423487,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1995,1987,94.909555608576,8,47.18485162784527,81.71516319373985,34.530311565894586,60.37924404268141,1.3393111872649754,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1996,1987,82.57875640670974,9,47.18485162784527,81.71516319373985,34.530311565894586,48.04844484081516,1.0292931131075667,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1997,1987,92.91734086073838,10,47.18485162784527,81.71516319373985,34.530311565894586,58.3870292948438,1.2935387777999543,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1998,1987,88.46799478902446,11,47.18485162784527,81.71516319373985,34.530311565894586,53.937683223129866,1.1802990248050345,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
1689284518,1999,1987,92.0430255741268,12,47.18485162784527,81.71516319373985,34.530311565894586,57.512714008232216,1.2703746512550078,1.085033427915486,38.78035138282941,0,1083.4392575883503,556.8496498008827,1285.6753252512449,130.0317341380228,12.020303651884005,6.638366645467502,188.54545454545453,281.6667204655272,-0.9110600389572872,0.18069185440454225,26.83977601066467,921.3766233766233,2.792207792207792,0,medium seed avail.,low ppt Yrs 0-3,medium seed avail.,low ppt Yrs 0-3,FALSE
