pixelID,x,y
tile_3_9_-103245222075,-103245,222075
tile_3_9_-103785219645,-103785,219645
tile_3_9_-104325222075,-104325,222075
tile_3_9_-104595220725,-104595,220725
tile_3_9_-105135219105,-105135,219105
tile_3_9_-105675220185,-105675,220185
tile_3_9_-105675221265,-105675,221265
tile_3_9_-106755221265,-106755,221265
tile_3_9_-107295219645,-107295,219645
tile_3_9_-108645218835,-108645,218835
tile_5_11_-15375354225,-15375,354225
tile_5_11_-16455353955,-16455,353955
tile_5_11_-16455355035,-16455,355035
tile_5_11_-16455356115,-16455,356115
tile_5_11_-17265356925,-17265,356925
tile_5_11_-17535354495,-17535,354495
tile_5_11_-17535355575,-17535,355575
tile_5_11_-18075358005,-18075,358005
tile_5_11_-18075359085,-18075,359085
tile_5_11_-18345356385,-18345,356385
tile_5_11_-18615355305,-18615,355305
tile_5_11_-19155357735,-19155,357735
tile_5_11_-19425356655,-19425,356655
tile_5_11_-19425359355,-19425,359355
tile_5_11_-20235355845,-20235,355845
tile_5_11_-20235358545,-20235,358545
tile_5_11_-20505356925,-20505,356925
tile_5_11_-21315355845,-21315,355845
tile_5_11_-21855356925,-21855,356925
tile_5_5_105453405,10545,3405
tile_5_5_89252325,8925,2325
tile_5_6_-1429555035,-14295,55035
tile_5_6_-1537554765,-15375,54765
tile_5_6_-1645554765,-16455,54765
tile_5_6_-1753554765,-17535,54765
tile_5_6_730546125,7305,46125
tile_5_6_811546935,8115,46935
tile_5_6_892547745,8925,47745
tile_7_2_130275-184425,130275,-184425
tile_7_2_132435-184695,132435,-184695
tile_7_2_132705-185775,132705,-185775
tile_7_3_101385-124695,101385,-124695
tile_7_3_102195-123615,102195,-123615
tile_7_3_102195-125505,102195,-125505
tile_7_3_103275-123885,103275,-123885
tile_7_3_103275-124965,103275,-124965
tile_7_3_106245-129015,106245,-129015
tile_7_3_111915-129015,111915,-129015
tile_7_3_111915-130095,111915,-130095
tile_7_3_112995-128745,112995,-128745
tile_7_3_112995-129825,112995,-129825
tile_7_3_113265-130905,113265,-130905
tile_7_3_114345-129015,114345,-129015
tile_7_3_114345-130635,114345,-130635
tile_7_3_115425-130365,115425,-130365
tile_7_3_98415-126585,98415,-126585
tile_7_5_81135-45735,81135,-45735
tile_8_2_141135-187125,141135,-187125
tile_8_2_141675-188205,141675,-188205
tile_8_2_141945-185775,141945,-185775
tile_8_2_142485-187125,142485,-187125
tile_8_2_142485-189285,142485,-189285
tile_8_2_144375-196305,144375,-196305
tile_8_2_144915-197655,144915,-197655
tile_8_2_145455-196575,145455,-196575
tile_8_2_149775-194415,149775,-194415
tile_8_2_149775-200355,149775,-200355
tile_8_2_150585-197385,150585,-197385
tile_8_2_150855-194685,150855,-194685
tile_8_2_151665-195765,151665,-195765
tile_8_2_151935-197925,151935,-197925
tile_8_2_153015-194415,153015,-194415
tile_8_2_153015-195765,153015,-195765
tile_8_2_153285-198465,153285,-198465
tile_8_2_154095-199275,154095,-199275
tile_8_2_154905-195765,154905,-195765
