pixelID,geometry
tile_0_11_-290535340725,"c(-290535, 340725)"
tile_0_11_-290535348555,"c(-290535, 348555)"
tile_0_11_-290535350715,"c(-290535, 350715)"
tile_0_11_-290805335055,"c(-290805, 335055)"
tile_0_11_-290805336675,"c(-290805, 336675)"
tile_0_11_-290805352335,"c(-290805, 352335)"
tile_0_11_-291075337755,"c(-291075, 337755)"
tile_0_11_-291345338835,"c(-291345, 338835)"
tile_0_11_-291345339915,"c(-291345, 339915)"
tile_0_11_-291345349635,"c(-291345, 349635)"
tile_0_11_-291345353955,"c(-291345, 353955)"
tile_0_11_-291615333435,"c(-291615, 333435)"
tile_0_11_-291615335865,"c(-291615, 335865)"
tile_0_11_-291615340995,"c(-291615, 340995)"
tile_0_11_-291615350715,"c(-291615, 350715)"
tile_0_11_-291885336945,"c(-291885, 336945)"
tile_0_11_-291885351795,"c(-291885, 351795)"
tile_0_11_-292155338025,"c(-292155, 338025)"
tile_0_11_-292155346935,"c(-292155, 346935)"
tile_0_11_-292425340185,"c(-292425, 340185)"
tile_0_11_-292695334515,"c(-292695, 334515)"
tile_0_11_-292695335865,"c(-292695, 335865)"
tile_0_11_-292695341265,"c(-292695, 341265)"
tile_0_11_-292965337215,"c(-292965, 337215)"
tile_0_11_-292965345315,"c(-292965, 345315)"
tile_0_11_-293235338295,"c(-293235, 338295)"
tile_0_11_-293235346395,"c(-293235, 346395)"
tile_0_11_-293235354225,"c(-293235, 354225)"
tile_0_11_-293505340455,"c(-293505, 340455)"
tile_0_11_-293775341535,"c(-293775, 341535)"
tile_0_11_-293775347475,"c(-293775, 347475)"
tile_0_11_-293775351525,"c(-293775, 351525)"
tile_0_11_-294045336675,"c(-294045, 336675)"
tile_0_11_-294045345315,"c(-294045, 345315)"
tile_0_11_-294315335055,"c(-294315, 335055)"
tile_0_11_-294315338295,"c(-294315, 338295)"
tile_0_11_-294315342615,"c(-294315, 342615)"
tile_0_11_-294315346395,"c(-294315, 346395)"
tile_0_11_-294315353685,"c(-294315, 353685)"
tile_0_11_-294855351255,"c(-294855, 351255)"
tile_0_11_-295125336405,"c(-295125, 336405)"
tile_0_11_-295125344235,"c(-295125, 344235)"
tile_0_11_-295125348285,"c(-295125, 348285)"
tile_0_11_-295395335325,"c(-295395, 335325)"
tile_0_11_-295395342075,"c(-295395, 342075)"
tile_0_11_-295395353415,"c(-295395, 353415)"
tile_0_11_-295935345585,"c(-295935, 345585)"
tile_0_11_-295935351795,"c(-295935, 351795)"
tile_0_11_-296475342885,"c(-296475, 342885)"
tile_0_11_-296475344235,"c(-296475, 344235)"
tile_0_11_-297015345315,"c(-297015, 345315)"
tile_0_11_-297555343695,"c(-297555, 343695)"
