pixelID,geometry
tile_1_12_-272115375075,"c(-272115, 375075)"
tile_1_12_-272655381825,"c(-272655, 381825)"
tile_1_12_-272925373455,"c(-272925, 373455)"
tile_1_12_-272925385875,"c(-272925, 385875)"
tile_1_12_-273465387495,"c(-273465, 387495)"
tile_1_12_-273735375615,"c(-273735, 375615)"
tile_1_12_-274005382635,"c(-274005, 382635)"
tile_1_12_-274275381015,"c(-274275, 381015)"
tile_1_12_-274815374535,"c(-274815, 374535)"
tile_1_12_-275355379395,"c(-275355, 379395)"
tile_1_12_-275355383445,"c(-275355, 383445)"
tile_1_12_-276165381285,"c(-276165, 381285)"
tile_1_12_-276165403425,"c(-276165, 403425)"
tile_1_12_-276435384795,"c(-276435, 384795)"
tile_1_12_-276975376695,"c(-276975, 376695)"
tile_1_12_-276975401805,"c(-276975, 401805)"
tile_1_12_-277245378855,"c(-277245, 378855)"
tile_1_12_-278055380745,"c(-278055, 380745)"
tile_1_12_-278325377775,"c(-278325, 377775)"
tile_1_12_-278595385335,"c(-278595, 385335)"
tile_1_12_-278595404775,"c(-278595, 404775)"
tile_1_12_-279135402615,"c(-279135, 402615)"
tile_1_12_-279405381825,"c(-279405, 381825)"
tile_1_12_-279675383445,"c(-279675, 383445)"
tile_1_12_-280215398835,"c(-280215, 398835)"
tile_1_13_-267255439935,"c(-267255, 439935)"
tile_1_13_-268605439125,"c(-268605, 439125)"
tile_1_8_-231345155325,"c(-231345, 155325)"
tile_1_8_-231885157215,"c(-231885, 157215)"
tile_1_8_-232695160185,"c(-232695, 160185)"
tile_1_8_-232965154785,"c(-232965, 154785)"
tile_1_8_-233235156405,"c(-233235, 156405)"
tile_1_8_-233775158295,"c(-233775, 158295)"
tile_1_8_-234315160725,"c(-234315, 160725)"
tile_1_8_-234585154785,"c(-234585, 154785)"
tile_1_8_-235395158835,"c(-235395, 158835)"
tile_1_8_-235935156405,"c(-235935, 156405)"
tile_1_8_-236205160185,"c(-236205, 160185)"
tile_1_8_-237015157755,"c(-237015, 157755)"
tile_1_8_-238365159645,"c(-238365, 159645)"
tile_1_8_-238365161265,"c(-238365, 161265)"
tile_1_8_-238635153705,"c(-238635, 153705)"
tile_1_8_-239175157755,"c(-239175, 157755)"
tile_1_8_-242415169365,"c(-242415, 169365)"
tile_1_8_-243495170445,"c(-243495, 170445)"
tile_1_8_-265365176385,"c(-265365, 176385)"
tile_3_9_-101355220455,"c(-101355, 220455)"
tile_3_9_-102435221805,"c(-102435, 221805)"
tile_3_9_-102705219645,"c(-102705, 219645)"
