domain,mod_name,aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod41_nf_megram_reduced_1000m_2023-04-04-12-21-14.rda,3196.7,0.31,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod41_nf_megram_reduced_1000m_2023-04-04-12-22-06.rda,3196.7,0.31,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod1_nf_megram_reduced_1000m.rda,3245.36,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod17_nf_megram_reduced_1000m.rda,3245.36,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod18_nf_megram_reduced_1000m.rda,3245.36,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod25_nf_megram_reduced_1000m.rda,3245.36,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod24_nf_megram_reduced_1000m.rda,3259.1,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod68_wild_megram_reduced_1000m__notes_2023-04-04-13-53-31.rda,703.17,0.42,"elevation,hli","burnSev,lowReburns,mediumReburns,postFireSAP",,minPostFirePrecip
wild,mod63_wild_megram_reduced_1000m__notes_2023-04-04-13-34-02.rda,706.41,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,minPostFirePrecip
wild,mod64_wild_megram_reduced_1000m__notes_2023-04-04-13-34-28.rda,707.53,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod67_wild_megram_reduced_1000m__notes_2023-04-04-13-40-00.rda,707.53,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod7_wild_megram_reduced_1000m.rda,707.53,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-05.rda,707.57,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,ppt_Yr1_3_mean_annual_anom
wild,mod67_wild_megram_reduced_1000m__notes_2023-04-04-13-37-58.rda,707.96,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,min_annual_ppt_t_adjusted_Yr1_3
wild,mod67_wild_megram_reduced_1000m__notes_2023-04-04-13-38-42.rda,708.61,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod6_wild_megram_reduced_1000m.rda,708.84,0.41,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-34.rda,708.96,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,pptYr1_3_annual_mean_t_adjusted
wild,mod13_wild_megram_reduced_1000m.rda,709.13,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod14_wild_megram_reduced_1000m.rda,709.13,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod66_wild_megram_reduced_1000m__notes_2023-04-04-13-37-20.rda,709.22,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,min_annual_ppt_Yr1_3_anom
wild,mod5_wild_megram_reduced_1000m.rda,709.79,0.41,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod3_wild_megram_reduced_1000m.rda,710.35,0.41,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod11_wild_megram_reduced_1000m.rda,710.92,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod12_wild_megram_reduced_1000m.rda,710.92,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod45_wild_megram_reduced_1000m_2023-04-04-12-26-36.rda,711.39,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,postFireMaxT
wild,mod8_wild_megram_reduced_1000m.rda,712.02,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
wild,mod10_wild_megram_reduced_1000m.rda,712.15,0.4,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod50_wild_megram_reduced_1000m__postFireTXpostFirePrecip_2023-04-04-12-48-30.rda,712.74,0.41,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod43_wild_megram_reduced_1000m_2023-04-04-12-25-52.rda,713.32,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod51_wild_megram_reduced_1000m__notes_2023-04-04-12-59-45.rda,713.54,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
wild,mod47_wild_megram_reduced_1000m_2023-04-04-12-28-54.rda,714.37,0.39,tpi,"burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
wild,mod54_wild_megram_reduced_1000m__notes_2023-04-04-13-29-43.rda,714.52,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
wild,mod60_wild_megram_reduced_1000m__notes_2023-04-04-13-31-21.rda,720.24,0.39,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
wild,mod61_wild_megram_reduced_1000m__notes_2023-04-04-13-31-32.rda,722.72,0.38,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFirePrecip
wild,mod2_wild_megram_reduced_1000m.rda,723.67,0.38,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod55_wild_megram_reduced_1000m__notes_2023-04-04-13-30-05.rda,724.47,0.38,"hli,tpi","burnSev,mediumReburns,postFireSAP","CWDhist,PPThist",
wild,mod16_wild_megram_reduced_1000m.rda,725.83,0.37,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod44_wild_megram_reduced_1000m_2023-04-04-12-26-22.rda,731.34,0.36,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
