pixelID,x,y
FA-25-436,-34430.836354,237451.665811
FA-25-469,-36590.836354,237181.665811
FA-25-479,-33890.836354,237181.665811
FA-25-521,-33620.836354,236911.665811
FA-25-522,-33350.836354,236911.665811
FA-3-147,-300650.836354,414031.665811
FA-3-246,-300650.836354,413221.665811
FA-3-379,-300380.836354,412141.665811
FA-3-412,-300380.836354,411871.665811
FA-3-455,-297680.836354,411601.665811
FA-3-456,-297410.836354,411601.665811
FA-3-486,-298220.836354,411331.665811
FA-3-488,-297680.836354,411331.665811
FA-3-489,-297410.836354,411331.665811
FA-3-521,-297680.836354,411061.665811
FA-3-553,-297950.836354,410791.665811
FA-30-1046,-94910.836354,159961.665811
FA-30-1048,-94370.836354,159961.665811
FA-30-1173,-96260.836354,159421.665811
FA-30-1178,-94910.836354,159421.665811
FA-30-1295,-98960.836354,158881.665811
FA-30-1425,-99500.836354,158341.665811
FA-30-1491,-99500.836354,158071.665811
FA-30-1492,-99230.836354,158071.665811
FA-30-1493,-98960.836354,158071.665811
FA-30-1674,-103550.836354,157261.665811
FA-30-1675,-103280.836354,157261.665811
FA-30-1676,-103010.836354,157261.665811
FA-30-1732,-105710.836354,156991.665811
FA-30-1863,-105980.836354,156451.665811
FA-30-1875,-102740.836354,156451.665811
FA-30-1876,-102470.836354,156451.665811
FA-30-1936,-104090.836354,156181.665811
FA-30-1940,-103010.836354,156181.665811
FA-30-2007,-102740.836354,155911.665811
FA-30-507,-97880.836354,162121.665811
FA-30-650,-94910.836354,161581.665811
FA-30-651,-94640.836354,161581.665811
FA-30-711,-96260.836354,161311.665811
FA-30-786,-93830.836354,161041.665811
FA-30-845,-95720.836354,160771.665811
FA-30-846,-95450.836354,160771.665811
FA-30-849,-94640.836354,160771.665811
FA-30-903,-97880.836354,160501.665811
FA-30-911,-95720.836354,160501.665811
FA-30-981,-94640.836354,160231.665811
FA-31-1114,-43340.836354,119731.665811
FA-31-1157,-43070.836354,119461.665811
FA-31-1281,-43610.836354,118651.665811
FA-31-1321,-44150.836354,118381.665811
FA-31-1362,-44420.836354,118111.665811
FA-31-1490,-43880.836354,117301.665811
FA-31-1576,-43340.836354,116761.665811
FA-31-160,-40100.836354,125941.665811
FA-31-1618,-43340.836354,116491.665811
FA-31-1622,-42260.836354,116491.665811
FA-31-1623,-41990.836354,116491.665811
FA-31-1654,-44960.836354,116221.665811
FA-31-1740,-44420.836354,115681.665811
FA-31-1813,-47390.836354,115141.665811
FA-31-1895,-47930.836354,114601.665811
FA-31-1904,-45500.836354,114601.665811
FA-31-319,-42530.836354,124861.665811
FA-31-322,-41720.836354,124861.665811
FA-31-403,-42530.836354,124321.665811
FA-31-404,-42260.836354,124321.665811
FA-31-447,-41990.836354,124051.665811
FA-31-490,-41720.836354,123781.665811
FA-31-662,-40640.836354,122701.665811
FA-31-701,-41450.836354,122431.665811
